"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MACF1",16589.7619977652,0.320472264501258,0.194679596046318,1.64615229849261,0.0997324073405773,0.413034218155668
"FOLR2",13261.2087398555,0.123322290913346,0.199660999457273,0.61765838720915,0.536800547893928,0.85811826062669
"ZFYVE26",5607.75930204799,-0.325411401259383,0.156904300516276,-2.07394826138388,0.0380841162043946,0.241544147023719
"TMEM131",4142.10871140536,0.402840919562069,0.150371493410279,2.67897132911318,0.00738487168612077,0.0899398841036651
"BICRAL",341.309524824824,-0.0874687763770046,0.241764677794313,-0.361793034346485,0.717506697833537,0.930855507327521
"LRRC8B",1460.2642813527,-0.577314507261733,0.199037287508453,-2.9005344399964,0.00372526898629048,0.0560956749629658
"TTC9",154.168225383452,0.350317049214248,0.355958177460339,0.984152272364303,0.325040648648602,0.716151754208256
"POFUT1",565.74940757155,-1.07279953711931,0.334440168009556,-3.20774727361296,0.00133779001010332,0.0267355986750681
"KCTD2",466.899678192576,-0.419323880392486,0.200141577243136,-2.09513628386711,0.0361588793095068,0.23406978883453
"NUP188",6402.74070571401,0.256119898843391,0.116336374931404,2.20154615436839,0.0276973830375523,0.200915669525143
"SUZ12",3137.05987717777,0.0568855868791755,0.133525044323384,0.426029342790589,0.670086464825668,0.912087084866401
"SCRIB",241.126508307567,-0.542000211833558,0.243055289496444,-2.22994616968206,0.0257510167703093,0.192911415466484
"SPIDR",1206.55488151705,-0.323827288464649,0.198081508515368,-1.63481836791204,0.102087129091106,0.417569745647228
"MORC3",8622.17958880537,0.33193937608017,0.19813236685009,1.67534149698681,0.0938672479824438,0.399715982304184
"SLC39A14",372.976416517505,-0.495919746790687,0.536768606753718,-0.923898567373235,0.355539129059023,0.742319558582572
"MTREX",1275.2325393362,-0.389066215513186,0.231898215942524,-1.67774561754117,0.0933967698994631,0.399443061498206
"R3HDM1",649.767004905718,-0.0525985804581099,0.238904636907126,-0.220165590501107,0.825742193926073,0.962902803321119
"FOLR3",6.79107689782303,-0.0279064267401484,0.934637517266285,-0.0298580211307713,0.976180285194492,NA
"RPL13A",9110.49046582942,-0.144425756702299,0.194365698805058,-0.743061957897998,0.45744417010658,0.814077022282903
"KAT6B",386.836318480634,0.283985015738343,0.311136312567217,0.91273504334854,0.3613819086216,0.747576618178379
